"gene","logFC_106839","logFC_299945","adjP_106839","adjP_299945","avg_logFC","direction_consistent","fisher_combined_p","stouffer_combined_p","effect_ratio","effect_consistent","integrated_score","fisher_FDR","stouffer_FDR"
"EHHADH",0.529455556009642,1.64351641619439,0.00449519943914742,8.32756833356885e-06,1.08648598610202,TRUE,6.77582473389386e-07,4.99687266897197e-07,0.322148017989142,TRUE,1,1.73021542343065e-05,1.07224032258751e-05
"DBX2",-2.8896116025591,-3.31747682836327,0.00451440775985966,1.58224731628677e-05,-3.10354421546118,TRUE,1.2467634745633e-06,8.39294764798382e-07,0.871026913542824,TRUE,0.75,2.32754656441066e-05,1.38942625516232e-05
"FRRS1",0.685672844841496,1.79332955942603,0.00461229798087105,6.21921994390932e-06,1.23950120213376,TRUE,5.26852469366421e-07,4.09215927144047e-07,0.382346257126856,TRUE,1,1.48916047722467e-05,9.36996178008984e-06
"AEBP1",-0.90906956357694,-1.32814088009564,0.00462931227559782,0.033151899490872,-1.11860522183629,TRUE,0.00150124872586213,0.000848646726777424,0.684467722664691,TRUE,0.75,0.00357532570958342,0.00233240261224561
"NEURL2",-0.747872473927069,-2.23161582206007,0.00467899141130031,0.000629151840287237,-1.48974414799357,TRUE,4.04354251843043e-05,1.90921160315716e-05,0.335125995493564,TRUE,0.75,0.000225036548826108,0.00011436379892834
"C1QL3",-1.58479692542505,-4.66654921354385,0.00471218115133964,0.00013129011713894,-3.12567306948445,TRUE,9.46288418856022e-06,5.01465958546721e-06,0.339607888592594,TRUE,0.75,8.12746274881157e-05,4.45537260444655e-05
"BRPF1",-0.683650451300077,-1.35048543808161,0.00477317452665316,1.07198985842411e-05,-1.01706794469084,TRUE,9.10183243686969e-07,6.57580838669958e-07,0.50622571115703,TRUE,0.75,1.98122405326591e-05,1.20567491968567e-05
"SULT1C3",0.938584639834532,2.6361093340122,0.00480349656326779,2.11576808364314e-05,1.78734698692337,TRUE,1.73808248940318e-06,1.14274022700034e-06,0.356049207718555,TRUE,1,2.73320726905035e-05,1.64167223119574e-05
"VTN",0.663870161201563,2.13046706344357,0.00481153615702708,1.12875076940897e-05,1.39716861232256,TRUE,9.62842161357586e-07,6.91921977158394e-07,0.311607803092961,TRUE,1,2.03886972682247e-05,1.25314758085354e-05
"LIN28B",-1.38136394420246,-2.5219777885805,0.00496037031755528,0.00020010410074602,-1.95167086639148,TRUE,1.47131162090641e-05,7.57653819016824e-06,0.547730416364993,TRUE,0.75,0.000109826015750103,5.89703743800422e-05
"SARDH",0.689571858744113,1.81339636497176,0.00499908575580658,0.00025049841698287,1.25148411185794,TRUE,1.8271217164372e-05,9.24772552879372e-06,0.380265380511475,TRUE,1,0.000128733862581228,6.79824124735954e-05
"WDR72",1.31735533286221,1.05662956446872,0.005037609585606,0.0299992917806746,1.18699244866547,TRUE,0.00148063010129113,0.000817799243774342,0.802083946609137,TRUE,1,0.00353891121133207,0.00226300454911299
"GPR183",0.728399274231416,2.1367251957482,0.0050574651743318,0.00316577522105671,1.43256223498981,TRUE,0.000192805986428623,8.8748852052678e-05,0.340895158479357,TRUE,1,0.000722787943816455,0.000381651582952054
"NRBP2",0.585637845424645,1.52636295018867,0.00507085079948507,4.38677432153262e-05,1.05600039780666,TRUE,3.63001513182648e-06,2.20168444342583e-06,0.383681905638666,TRUE,1,4.33551644346164e-05,2.54804328053413e-05
"BBOX1",0.500505421573594,1.53603335648439,0.00517680638887528,0.000103155473533198,1.01826938902899,TRUE,8.24672242879052e-06,4.55978570090831e-06,0.325842807684287,TRUE,1,7.44400631591357e-05,4.18121272202467e-05
"CPNE4",-1.58431013293629,-0.836920494438964,0.00520091652609895,0.221143669014934,-1.21061531368763,TRUE,0.00893420592112763,0.00926064160041262,0.528255470340173,TRUE,0.75,0.0154012950934078,0.0169935479985056
"ASPM",1.08654074371625,1.97053831605443,0.00522983080172415,6.73403509496843e-05,1.52853952988534,TRUE,5.5852459043171e-06,3.24261326234421e-06,0.551392852838208,TRUE,1,5.70863652607989e-05,3.26959506356785e-05
"FGD6",0.94472384003247,1.76786151984416,0.00522983080172415,0.000107228576325037,1.35629267993831,TRUE,8.63271732169791e-06,4.76395012283248e-06,0.53438791977086,TRUE,1,7.66187560405356e-05,4.29858456637752e-05
"NAF1",-0.75174688046053,-1.2492792656034,0.00522983080172415,0.000239091106650645,-1.00051307303197,TRUE,1.82459776552457e-05,9.3415090126614e-06,0.601744462714216,TRUE,0.75,0.00012866298386511,6.84749583618959e-05
"IL7R",1.07660760579701,3.32404452202312,0.00523165359237737,0.000362546893838567,2.20032606391006,TRUE,2.68867320817878e-05,1.33314366175252e-05,0.323884833269848,TRUE,1,0.000166587676261136,8.79170295526133e-05
"RTKN2",0.711972427555266,1.54084602489731,0.00523165359237737,5.09519465143414e-05,1.12640922622629,TRUE,4.30170079057285e-06,2.58078099091286e-06,0.462065914472353,TRUE,1,4.82807627064698e-05,2.76894932645283e-05
"KCNC2",-0.952437356066796,-2.99962730837681,0.00523988731022825,0.00011522319201141,-1.9760323322218,TRUE,9.24960745260006e-06,5.06876688921576e-06,0.317518564191959,TRUE,0.75,8.01632645892005e-05,4.48932791567323e-05
"IL13RA1",1.08586491709495,1.41337338388766,0.00529774654294715,5.82084724474447e-05,1.24961915049131,TRUE,4.93149836907163e-06,2.92042111749158e-06,0.768278877665112,TRUE,1,5.33155359390958e-05,3.02609894765998e-05
"BMP4",-2.52985060762518,-3.6210699862355,0.00532342721904482,0.000344584212229134,-3.07546029693034,TRUE,2.60642002646438e-05,1.3006639118629e-05,0.698647255436021,TRUE,0.75,0.000163255335767926,8.66700260766504e-05
"RASSF9",1.49443969379651,1.27220934574186,0.00538032186128902,0.00056231704961261,1.38332451976918,TRUE,4.14741904752142e-05,2.00699401743387e-05,0.851295205168103,TRUE,1,0.000228864087544216,0.000119043256065567
"ABCA12",0.763848944531249,1.52500669878189,0.00543367189414005,0.000342455708185133,1.14442782165657,TRUE,2.64130270165763e-05,1.32300409141362e-05,0.500882353593187,TRUE,1,0.000164615306612133,8.76761741893808e-05
"MRM1",-0.902067354403476,-1.63194921098135,0.00553268029440439,4.54891923935752e-05,-1.26700828269241,TRUE,4.0759414508615e-06,2.51253974314913e-06,0.552754551632787,TRUE,0.75,4.66230495782754e-05,2.73731193610952e-05
"CLGN",-1.02208000421494,-2.14219484479551,0.00555943330552568,1.16032044273309e-05,-1.58213742450522,TRUE,1.13252062787266e-06,8.44463138083285e-07,0.477118132693716,TRUE,0.75,2.22023301335905e-05,1.39114008267475e-05
"HPGD",1.81614180836551,4.42496457083798,0.00559735787838457,6.12843971852306e-05,3.12055318960174,TRUE,5.44919567396904e-06,3.24799320849944e-06,0.410430813465605,TRUE,1,5.63948504671082e-05,3.26959506356785e-05
"MC5R",1.38529277270674,3.46828243454719,0.00561840289049322,7.24529339840943e-05,2.42678760362697,TRUE,6.39680890529482e-06,3.74191662599888e-06,0.39941752116494,TRUE,1,6.20902966214195e-05,3.645171682821e-05
"IFIH1",0.687385498029555,2.24220952606676,0.00562106885741007,3.96525593599774e-05,1.46479751204816,TRUE,3.63680060323411e-06,2.28997436391154e-06,0.306566130434453,TRUE,1,4.33551644346164e-05,2.60049821290499e-05
"SPNS2",-2.08243339846178,-2.45602694308265,0.0056594375184604,0.0013021448824141,-2.26923017077221,TRUE,9.4462343279181e-05,4.42831835771873e-05,0.847887033294526,TRUE,0.75,0.000420516187833161,0.000219756594847915
"HEY2",-0.810351795443464,-1.90284054974849,0.00570653526625138,0.0172575807488968,-1.35659617259598,TRUE,0.00100703187134416,0.000512348648434635,0.425864266740885,TRUE,0.75,0.00259204437944522,0.00154897066757542
"MAP7",1.0308957955007,1.68396879037258,0.00572880392055725,0.00148951310399982,1.35743229293664,TRUE,0.000108128002953362,5.05581618032158e-05,0.612182245534736,TRUE,1,0.000462174963707864,0.000243621932600374
"SLC12A1",1.48081372115316,1.36339257086323,0.00572984246850316,9.41811837413786e-05,1.42210314600819,TRUE,8.32796898126848e-06,4.75000094701805e-06,0.920704982259018,TRUE,1,7.48976596640811e-05,4.29221833975746e-05
"RGS9BP",-0.995236911571636,-2.78993595165791,0.00575319711687272,6.50800752079762e-06,-1.89258643161477,TRUE,6.77715338106389e-07,5.58896250724139e-07,0.356723928009967,TRUE,0.75,1.73021542343065e-05,1.12944074633993e-05
"MAN1A1",1.20115041399498,3.9278164289805,0.00579820344507498,1.05728911500392e-05,2.56448342148774,TRUE,1.07940156615092e-06,8.26455806790527e-07,0.305806148457591,TRUE,1,2.16801129732113e-05,1.37353714085422e-05
"OTUD7A",-0.835023358440027,-1.60410779508238,0.00580729999593192,2.73289612236496e-05,-1.2195655767612,TRUE,2.64346396049274e-06,1.76331569057275e-06,0.520553145493033,TRUE,0.75,3.48784842947181e-05,2.17552602522484e-05
"GRIN2A",0.899265826246531,1.57567133578769,0.00580729999593192,0.0174271215782888,1.23746858101711,TRUE,0.00103212087923827,0.000525485979707141,0.570719163204795,TRUE,1,0.00264777741296112,0.00158056038466917
