"gene","logFC_106839","logFC_299945","avg_logFC","SE_106839","SE_299945","P_106839","P_299945","FDR_106839","FDR_299945","sig_106839","sig_299945","direction_consistent","category"
"DCDC2",-1.14469680932839,-0.331749270662819,-0.738223039995605,0.194324624588986,0.963605351846251,0.000231980430426404,0.737555923006429,0.00130473485401588,0.76794895881402,TRUE,FALSE,TRUE,"Moderate"
"DGKH",0.52910182000713,0.946828559707622,0.737965189857376,0.198383930797999,0.395778275918621,0.0257518048408597,0.0371142943167749,0.0528219614653811,0.0511347097398631,FALSE,FALSE,TRUE,"Low"
"KCNB1",-0.858594323383965,-0.61722872578321,-0.737911524583588,0.099412727041101,0.243386518029407,1.19654724892145e-05,0.0289378166768054,0.000158755966456465,0.0407570789284635,TRUE,TRUE,TRUE,"Moderate"
"LRRC75A",-0.605967907714108,-0.869341735587863,-0.737654821650985,0.1023709618228,0.219373393891035,0.000223880711187523,0.00252003230977223,0.00127193268327604,0.00443960465963642,TRUE,TRUE,TRUE,"Moderate"
"NKRF",0.361159856457817,1.11365776157249,0.737408809015153,0.0912063758200203,0.0564111543852755,0.0033069238482554,1.5826858830795e-09,0.0101779820885116,3.35433728469293e-08,TRUE,TRUE,TRUE,"Moderate"
"EME1",0.638620472807303,0.835866918979057,0.73724369589318,0.104054301778936,0.0589465367828684,0.000171497087673138,4.28317499712012e-08,0.00104563514179839,3.88347353725956e-07,TRUE,TRUE,TRUE,"Moderate"
"ERRFI1",0.181456972918952,1.29272837174429,0.73709267233162,0.0704102081256439,0.0570084465089407,0.0298422550244039,3.90695923794645e-10,0.0593880638068436,1.21752426029931e-08,FALSE,TRUE,TRUE,"Moderate"
"MGP",-0.327601506665022,-1.14576571358111,-0.736683610123066,0.068587048598892,0.548258323317044,0.00100700440583557,0.0623247606714617,0.00402897530703781,0.0821815603024101,TRUE,FALSE,TRUE,"Moderate"
"UBAC2",-0.176686910270466,-1.29621711529701,-0.736452012783739,0.0665789697919396,0.0927795355305701,0.0263177025997595,4.95757788750825e-08,0.0536947501635248,4.32708094870274e-07,FALSE,TRUE,TRUE,"Moderate"
"TRABD",0.879807223823615,0.593024442459939,0.736415833141777,0.085441223323537,0.054796222135083,2.80825921446583e-06,5.90079256276955e-07,6.37797194262072e-05,3.08189128635276e-06,TRUE,TRUE,TRUE,"Moderate"
"SCUBE1",0.457368822511418,1.01415185778012,0.735760340145771,0.151576177057283,0.220459533343235,0.0145442007650024,0.000905083145403644,0.0332902353745186,0.00175186785954135,TRUE,TRUE,TRUE,"Moderate"
"GCNT4",-0.763731129823116,-0.707394788828296,-0.735562959325706,0.119284335181439,0.218432500469559,0.000125031964652442,0.00855682719428899,0.00083361248065424,0.0135180518236477,TRUE,TRUE,TRUE,"Moderate"
"KCNT2",-0.747259861390101,-0.722522132392183,-0.734890996891142,0.136737934112582,0.147969656128255,0.000398242308047449,0.000585041911192691,0.00194475378984982,0.00118330351941714,TRUE,TRUE,TRUE,"Moderate"
"ID2",-0.376303079821119,-1.09317570185058,-0.734739390835851,0.0805246053594765,0.131690790248864,0.00116422283479744,6.99869570322137e-06,0.00448524310072605,2.40945276787662e-05,TRUE,TRUE,TRUE,"Moderate"
