"gene","module_membership","gene_significance"
"PTPRU",0.876889164175728,0.82749510813592
"TMEM154",0.913955147811553,0.826581794229381
"OSBPL6",0.807310216028388,0.824454852465411
"UBE3D",0.905483796121669,0.822489508430355
"BCAT1",0.857612438486602,0.82150336020176
"CCM2",0.912587720440115,0.821206480587445
"FNBP1",0.883359978132581,0.820771187122641
"SULT4A1",0.858345374279604,0.819282125436023
"ACYP1",0.881793666456619,0.818801610508491
"SLC12A7",0.888113736237488,0.817003536110026
"ARHGEF12",0.868957884189321,0.816331727682848
"SFSWAP",0.896934042763387,0.814505656023843
"GGA3",0.895805919889308,0.812607413637785
"IQCH",0.874991264141375,0.811757948806967
"MRPS22",0.831718300798709,0.811646085169097
"BAIAP2",0.872737963037674,0.810246606735542
"HOOK1",0.887924125879371,0.809916445885608
"SNRPA1",0.92330785372107,0.809431751091515
"SNX12",0.922762727983096,0.808722818986128
"STUB1",0.91447899113564,0.806442083229612
"REEP3",0.873964751398685,0.803851763634205
"FAM98B",0.823500258736688,0.801223968362027
"MYLK",0.831731190317311,0.801116988514907
