"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PDLIM3",-3.453,3.8985,-6.72063346092598,"2.090e-05","6.801e-05",2.85
"SLC2A8",-0.538,5.0147,-6.95709179975336,"1.492e-05","5.174e-05",2.85
"ATG101",0.6728,6.7993,6.9903483922647,"1.424e-05","4.979e-05",2.85
"TRAF7",-0.7065,6.7812,-6.97923690063168,"1.446e-05","5.038e-05",2.85
"HIP1",0.6016,5.0252,6.94851998027008,"1.510e-05","5.225e-05",2.85
"TMEM131",-0.5915,6.7545,-6.95741282744479,"1.491e-05","5.174e-05",2.85
"KLHDC10",0.6681,5.965,6.9615663303918,"1.483e-05","5.148e-05",2.84
"LGALS8",-1.625,6.0986,-6.96970678342616,"1.466e-05","5.098e-05",2.84
"TRNT1",0.6334,4.644,6.92708914032748,"1.557e-05","5.356e-05",2.84
"ERCC6",0.6118,5.1648,6.92667275359135,"1.557e-05","5.356e-05",2.84
"PRKD3",0.453,5.5557,6.9255682855474,"1.560e-05","5.359e-05",2.83
"SNAI1",-1.4667,4.8063,-6.94185523806827,"1.524e-05","5.267e-05",2.83
"MCPH1",0.4481,4.8877,6.93025790050289,"1.550e-05","5.341e-05",2.83
"NAT10",0.4856,7.0276,6.94139801315165,"1.525e-05","5.269e-05",2.83
"KCNT2",-0.7183,4.3111,-6.92221221156513,"1.567e-05","5.377e-05",2.83
"CTTNBP2",1.1084,2.9388,6.75977764396864,"1.976e-05","6.483e-05",2.83
"NVL",0.353,5.8414,6.92662769835583,"1.558e-05","5.356e-05",2.82
"IFT46",-1.238,3.9669,-6.8351401283896,"1.774e-05","5.946e-05",2.82
"CTBS",-0.4861,5.7424,-6.98364408437336,"1.437e-05","5.013e-05",2.82
"ZBTB26",0.9032,5.6854,6.93152745537112,"1.547e-05","5.336e-05",2.82
"SORL1",-1.1901,5.7344,-6.928412556546,"1.554e-05","5.351e-05",2.82
"NDC80",-0.7578,7.1044,-6.9218771049338,"1.568e-05","5.377e-05",2.82
"PCCB",-0.5671,7.0442,-6.98386504486243,"1.437e-05","5.013e-05",2.82
"ZFAND2A",0.692,7.6728,7.00231976000358,"1.400e-05","4.916e-05",2.82
"ADGRD1",-2.4311,2.0005,-6.59076224187941,"2.523e-05","7.966e-05",2.81
"GDPD1",-1.5895,7.3719,-7.04801684534457,"1.313e-05","4.654e-05",2.81
"ZNF777",0.7479,6.0603,6.94841057405783,"1.510e-05","5.225e-05",2.81
"OSGEPL1",-0.425,4.2165,-6.91248024568452,"1.589e-05","5.442e-05",2.81
"FAM213A",-0.618,6.4742,-6.93565603869414,"1.538e-05","5.309e-05",2.81
