"gene","logFC_106839","logFC_299945","avg_logFC","SE_106839","SE_299945","FDR_106839","FDR_299945","regulation"
"ZBTB20",-0.600120545464702,-3.49945299274623,-2.04978676910546,0.140465073511226,0.708588782649032,0.00700411849352429,0.00109782206146031,"DOWN"
"NFKBIE",0.807256356340013,3.28845095545748,2.04785365589875,0.105037663952309,0.342562158927795,0.00029954478094794,7.80334550257951e-06,"UP"
"NMRK2",1.24779382514449,2.8468227638296,2.04730829448704,0.160392718482542,0.138101177090403,0.000282413638337967,2.42675239964798e-08,"UP"
"EMP2",-0.912660643630583,-3.17935015522581,-2.04600539942819,0.078071922038369,0.133762896615294,3.46692472273093e-05,8.68442255574764e-09,"DOWN"
"ETV3L",-0.604558116194485,-3.48121792690098,-2.04288802154773,0.14500380357919,0.509460954684052,0.00789065142243106,0.000106924907661911,"DOWN"
"CLDN10",-1.08791891547974,-2.99313384734705,-2.04052638141339,0.0941486350686094,0.139985892256704,3.6534003951683e-05,1.83647113972622e-08,"DOWN"
"ITIH2",-0.983056971992896,-3.09232022289118,-2.03768859744204,0.0558235033437724,0.069337614560085,7.00866287806006e-06,2.03202587837455e-10,"DOWN"
"ANK3",-0.914866582570086,-3.15692609512847,-2.03589633884928,0.103886443817735,0.210927162687166,0.000143105989878299,2.65687206992733e-07,"DOWN"
"TBX2",-0.659887354251855,-3.40957840597174,-2.0347328801118,0.063374338963167,0.0988207247256229,6.01632338158296e-05,7.89365063500986e-10,"DOWN"
"SYT11",1.18789070138814,2.87410906834908,2.03099988486861,0.137259903103939,0.134432233893018,0.000157178651359149,1.83647113972622e-08,"UP"
"TRIB1",-1.18326347417478,-2.87555564815552,-2.02940956116515,0.0879083408006432,0.150170178709624,1.95510505334065e-05,4.31951912436442e-08,"DOWN"
"MEIS1",0.587484007646409,3.46457490340363,2.02602945552502,0.185588576902758,0.342173142812481,0.027444022210364,5.26911380317032e-06,"UP"
"PPARA",-1.34388220637063,-2.70212293894086,-2.02300257265574,0.111961579935282,0.187533892882219,3.10570251534828e-05,3.44571543095569e-07,"DOWN"
"CREB3L2",-0.487863053334772,-3.54984215527336,-2.01885260430406,0.064599475897922,0.144037286883182,0.000329198819231504,7.00449115949484e-09,"DOWN"
"SLC35F3",1.19263835582192,2.84216670166288,2.0174025287424,0.190009949546225,0.306406205503869,0.000928444552964146,1.02229279246622e-05,"UP"
"KCNG2",1.28656371827599,2.74031046578567,2.01343709203083,0.180556046330887,0.280151236310502,0.000455205580946179,6.8239348007447e-06,"UP"
"KCNK12",1.22979998993191,2.78994683663657,2.00987341328424,0.113201259452553,0.167727975193519,4.95950305295025e-05,1.25594105799459e-07,"UP"
"BDKRB2",-1.28624271290331,-2.72905344242229,-2.0076480776628,0.171509861509411,0.224410734364672,0.000342841835032119,1.24675860295734e-06,"DOWN"
"ADCY1",-0.969166750991426,-3.0339825398021,-2.00157464539677,0.129553091392873,0.241647587129638,0.00034804741512385,9.8924795289623e-07,"DOWN"
"CAMK1D",-0.580375952065632,-3.41888901220303,-1.99963248213433,0.0746882724901993,0.204941405760157,0.000283979272614269,1.23042401054402e-07,"DOWN"
"PCDH1",-0.926625542733061,-3.0710905541816,-1.99885804845733,0.0819310084645076,0.0816129124101143,4.06684530862079e-05,4.48543909540815e-10,"DOWN"
"CDC42EP1",-1.01568913600181,-2.97918182901524,-1.99743548250853,0.100283598688416,0.129034935386006,6.88578174922166e-05,1.06770420807936e-08,"DOWN"
"SERPINF2",-0.967962576708783,-3.02239407183042,-1.9951783242696,0.0770844694589363,0.139106397225257,2.60582605416965e-05,1.64422860050209e-08,"DOWN"
"MPZL3",0.895725347949043,3.09149845109257,1.9936118995208,0.103725158486699,0.423330827411681,0.000158755966456465,6.44065477252622e-05,"UP"
"BAIAP2L2",-0.819937689287647,-3.16706292488937,-1.99350030708851,0.125428356422595,0.316726776530863,0.000738933012831222,5.7949573904079e-06,"DOWN"
"C8B",-0.711046758612629,-3.27328303401064,-1.99216489631163,0.138657268874536,0.543495333207675,0.00275451180012987,0.000274311496788284,"DOWN"
"PLA2R1",-0.898080827366638,-3.07776933879528,-1.98792508308096,0.105674183876669,0.260118205946817,0.000173822174946931,1.52871524113357e-06,"DOWN"
"HOXB5",-0.7023928396569,-3.27266899152457,-1.98753091559074,0.16113953426177,0.314100102782501,0.0063539132641602,4.17408725446359e-06,"DOWN"
"INSC",-0.40570067336364,-3.56712453322478,-1.98641260329421,0.149536764421318,0.485385691803596,0.0495939779824641,6.16854805743781e-05,"DOWN"
"PIGR",-0.740116183817069,-3.23010403799543,-1.98511011090625,0.111704509615342,0.510888254605544,0.00068063918248674,0.000191361968619161,"DOWN"
"TMEM86A",-0.96926241299887,-2.98227270882142,-1.97576756091015,0.248888236751424,0.254095768330898,0.0110029547965256,1.62469422924336e-06,"DOWN"
"TBX3",-1.02133248636163,-2.92668201324228,-1.97400724980195,0.0699177584658961,0.0966813199309022,1.52651745325432e-05,1.69163951078646e-09,"DOWN"
"STRIP2",0.635843660619935,3.31182707640331,1.97383536851162,0.160174797047855,0.273020471482612,0.010059333595608,1.26881794624822e-06,"UP"
"ADD3",-0.776117807348804,-3.16833364153008,-1.97222572443944,0.0778430070163758,0.0588577224506729,7.34190889370761e-05,1.76364503667677e-10,"DOWN"
"CAT",-1.00328720831934,-2.93793876042401,-1.97061298437167,0.0663763047109992,0.0667793409657402,1.25447954187631e-05,2.10918190221506e-10,"DOWN"
"RNF122",0.696472682448281,3.24009865196572,1.968285667207,0.227285300168219,0.412822885947758,0.0313360457668088,3.72182680759428e-05,"UP"
"MYO1B",-0.662326264976864,-3.2632707051828,-1.96279848507983,0.0820034023779931,0.114271276600966,0.000230406913414175,2.29321786017181e-09,"DOWN"
"DAB2",-1.21844688123581,-2.70488095849824,-1.96166391986703,0.112793226129604,0.37037331382742,5.10090168538623e-05,6.44038451703971e-05,"DOWN"
"PLXNB2",-0.924996873711056,-2.99314338397953,-1.95907012884529,0.102613674192274,0.0778489393489719,0.000126167169733232,4.08054707692963e-10,"DOWN"
"DPYS",-0.860232786352078,-3.05369007555393,-1.956961430953,0.0742228820182185,0.0752932987293222,3.61164346207951e-05,3.32163425325196e-10,"DOWN"
"HEYL",3.3141012737448,0.586634137677307,1.95036770571105,0.143315337970723,0.108550724782653,3.0345352247947e-06,0.000594191751578513,"UP"
"GCHFR",-0.598517599405628,-3.30123323672881,-1.94987541806722,0.0884618016178168,0.103204796509431,0.000608773207753776,1.25639693750215e-09,"DOWN"
"FOXL2",1.59305979094398,2.30313761605037,1.94809870349717,0.162157375687219,0.246823750884527,7.99957423717336e-05,9.743624603072e-06,"UP"
"DRD1",-1.09854697270851,-2.78597860632973,-1.94226278951912,0.136545925104766,0.286496738880848,0.000235229050104119,7.11205097906343e-06,"DOWN"
"SETBP1",-0.425908924088671,-3.44009317217351,-1.93300104813109,0.144043222994332,0.358485856172649,0.03611063195188,7.8213241332625e-06,"DOWN"
"CNTNAP5",-1.03137131325062,-2.82669040260975,-1.92903085793019,0.111232367250313,0.190525982076071,0.000108182826879874,2.7957367234546e-07,"DOWN"
"PTCHD1",0.745963799591331,3.10777361021357,1.92686870490245,0.150529968704131,0.241813105729209,0.00331111930647853,8.32481474557756e-07,"UP"
"CALR3",1.5169528544203,2.31767105237421,1.91731195339725,0.17734339157889,0.354605302822256,0.000168004905459701,0.000149444686096313,"UP"
"TFCP2L1",-0.735820627710801,-3.09174459858304,-1.91378261314692,0.0589572565105231,0.141311685538127,2.68485778314999e-05,1.58438321196314e-08,"DOWN"
"HAAO",-0.975618505261455,-2.83844128982855,-1.907029897545,0.291962888452156,0.418932628329168,0.0219865917919971,0.000114072571441339,"DOWN"
"CAPN6",-0.942372316852643,-2.86402033941041,-1.90319632813153,0.139559433175789,0.426970054143526,0.00061533381688337,0.000122908189884995,"DOWN"
